Stationsname,id,lat,lon
Büsum (A),10130,54.1333,8.8667
Dörnick,10150,54.1654,10.3519
Elpersbüttel,10130,54.0691,9.0105
Fehmarn,10055,54.5283,11.0606
Glücksburg-Meierwik,10033,54.8273,9.5058
Helgoland,10015,54.175,7.892
Hohn,10038,54.3162,9.5385
Itzehoe,10142,53.9897,9.5697
Kiel-Holtenau,10046,54.3776,10.1424
Leck,10022,54.7903,8.9514
Leuchtturm Kiel,10044,54.4996,10.2737
List auf Sylt,10020,55.011,8.4125
Lübeck-Blankensee,10156,53.8025,10.6989
Pelzerhaken,10152,54.0893,10.8773
Quickborn,10146,53.7331,9.8776
Sankt Peter-Ording,10028,54.3279,8.6031
Schleswig,10035,54.528,9.549
Schleswig-Jagel,10037,54.457,9.5203
Schönhagen (Ostseebad),10042,54.641,10.0238
